,Date,Player,Item,DKP
1817,1/12,Cateven,Gloves of the Hidden Temple,17
750,,Hamtari,Touch of Frost,17
113,,Urijah,Gloves of Rapid Evolution,17
2058,2/15,Spooge,Midnight Haze,17
2621,5/24,Nuranfu,Resilience of the Scourge,17
919,,Plated,Ring of Redeption,17
1301,,Blackhanded,Ring of the Dreadnaught,17
1069,,Platewd,Desecrated Tunic,17
3092,8/10,Fatjaws,Dragon's Blood Cape,16
700,,Yuimi,Carapace of the Old God,16
1771,1/11,Valerick,Sadist's Collar,16
1031,,Valerick,Cloak of the Golden Hive,16
1548,,Magicmike,Ring of SPell Power,16
13,,Yumiki,Necro-Knight's Garb,16
698,,Yumi,Skin of the Great Sandworm,16
197,,Thunderhamer,Toxin Injector,16
165,,Yumiki,Gloves of the Messiah,16
3245,8/31,Kibbles,Scaled Sand Reaver Leggings,16
3142,8/17,Dwarflord,Vek'lor's Diadem,16
2019,2/8,Dane,Maul of the Redeemed Crusader,16
2853,6/29,Dwarflort,Dragonbreath Hand Cannon,16
1751,1/5,Valerick,Gauntlets of Wrath,16
2738,6/8,hamtaro,Guise of the devourered,16
2007,2/8,Jimbo,Soulseeker,16
1816,1/12,Throndil,Gloves of the Massiah,16
16,,Plated,Death's Bargain,16
2160,3/2,Silly,Bindings of Command,15
2257,3/22,Plated,Desecrated Headpiece,15
3057,8/3,Lightborn,Vek'nilash's Circlet,15
1955,1/26,Holyskank,Vek'nilash's Circlet,15
693,,Brockstar,Royal Sceptor of Vek'lor,15
694,,Mav,Formula: Enchant Cloak Sublety,15
3061,8/3,Lightborn,Carapace of the Old God,15
1497,,Nuranfu,Royal Qiraji Belt,15
1953,1/26,Holyskank,Qiraji Bindings of Command,15
216,,Respira,Dragonstalker's Greaves,15
2403,4/19,Yumi,Maul of the Redeemed Crusader,15
2689,6/1,Valerick,Judgement Belt,15
1593,12/22,Donlimon,Ooze-Ridden Gauntlets,15
264,,Hamtaro,Ring of the Devoured,15
1588,12/21,Valerick,Desecrated Gauntlets,15
1920,1/25,Remembrancer,Desecrated Handguards,15
682,,Brockstar,Formula: Enchant Gloces: Shadow,15
376,,Isoncooldown,Pendant of the Qiraji Guardian,15
1606,12/22,Remembrancer,Qiraji Bindings of Dominance,15
3059,8/3,Lightborn,QIraji Bindings of Command,15
1818,1/12,Donlimon,Vek'lor's Gloves of Devastation,15
3244,8/31,Hona,Leggings of the Festering Swarm,15
1734,1/5,Donlimon,Elementium Reinforced Bulwark,15
685,,Hunten,Silithid Claw,15
3203,8/30,Yumi,Desecrated Belt,15
2695,6/1,Doyness,Essence of the Pure Flame,15
2474,4/27,Bltoaster,Husk of the Old God,15
1601,12/22,Donlimon,Silithid Carapace Chestguard,15
1085,,Kibbles,Belt of Transcendence,15
2417,4/20,Ccheettzz,Legplates of Might,15
117,,Fiight,Helm of Endfless RAge,15
569,,Wumbo,Desecrated Gauntlets,15
2946,7/13,Chetz,Pauldrons of Might,15
1741,1/5,Donlimon,Perdition's Blade,15
3141,8/17,Rageous,Vek'nilash's Circlet,15
2705,6/1,Kushbomb,Gloves of the Hypnotic Flame,15
140,,Hunten,Giantstalker's Helmet,15
3167,8/23,Jyro,Desecrated Helmet,15
152,,Brockstar,Perdition's Blade,15
1944,1/26,Don,Gloves of Enforcement,15
3238,8/31,Troutbully,Gloves of the Messiah,15
229,,Soulja,Cloak of the Brood Lord,15
2275,3/23,Lightfoot,Circlet of Prophecy,15
226,,Soulja,Girdle of the Fallen Crusader,15
662,,Brock,Digested Hand of Power,15
3198,8/30,Truck,Desecrated Bracers,15
2369,4/12,Chihua,Cloak of Suturing,15
2564,5/17,Sandi,Preceptor's Hat,15
1814,1/12,Donlimon,Amulet of Foul Warding,15
3060,8/3,Lightborn,QIraji Bindings of Command,15
533,,Hamtaro,Desecrated Handguards,15
568,,Kibbles,Malice Stone Pendant,15
2162,3/2,Silly,Husk of the Old God,15
1957,1/26,Holyskank,Ouro's Intact Hide,15
51,,Urijah,Choker of Enlightenment,14
567,,Wumbo,Desecrated Bracers,14
393,,Mavmoney,Burrower Bracers,14
1000,,Mavmoney,Veil of Eclipse,14
276,,Quietplz/howdruidofme,Vek'lor's Diadem,14
54,,Mavmoney,Seal of teh Archmagus,14
138,,Mavmoney,Crimson Shocker,14
2027,2/9,Tukobonk,Don Rigoberto's Lost Hat,14
1520,,Iggsy,Midnight Haze,14
2547,5/11,Ahi,Qiraji Bindings of Command,14
1937,1/26,Hadria,Imperial Qiraji Regalia,14
1374,,Fatjaws,Band of Reanimation,14
2001,2/2,Tukobonk,Wristguard's of True Flight,14
503,,Hamtaro,Vek'lor's Diadem,14
557,,Ahimelech,Noth's Frigid Heart,14
1294,,Sardinas,Sadist's Collar,14
2331,4/5,Spooge,Wand of Fates,13
1821,1/12,Cateven,Qiraji Bindings of Dominance,13
590,,Yumi,Mantle of the Blackwing Cabal,13
2177,3/8,Rowaine,Maul of the Redeemed Crusader,13
1775,1/11,Iggsy,Ring of the Dreadnought,13
1616,12/22,Dolphin,Schematic: Core Marksman Rifle,13
1509,,Tuna,Ring of the Dreadnought,13
2074,2/16,SPooge,Qiraji Bindings of Command,13
1702,12/29,Tuko,Lawbringer Chestguard,13
3264,,Tuko,Hailstone Band,13
1914,1/25,Spooqe,Noth's Frigid heart,13
1968,2/1,Hamtaro,Fortitude of the Scourge,13
1512,,Tuna,Fortitude of the Scourge,13
212,,Quietplz,Bloodfang Belt,12
1843,1/18,Biggerbill,Fortitude of the Scourge,12
696,,Mav,Vek'nikash Circlet,12
2187,3/8,Nighgt,Desecrated Robe,12
217,,Quietplz,Bloodfang Gloves,12
2188,3/8,Prastinna,Desecrated Leggings,12
261,,Sardinas,Amulet of Foul Warding,12
938,,Legits,Cloak of Firemaw,12
2320,3/30,Kundal,Brutality Blade,12
692,,Yumi,Vek'lor's Diadem,12
910,,Nightsummon,Desecrated Leggings,12
364,,Urijah,Salamander Scale Pants,12
2760,6/14,skylarke,Crystal Webbed Robe,12
136,,Urijah,Cenarion Leggings,12
2918,7/13,Kibbles,Mishundare,12
566,,Mano,Desecrated Bracers,12
400,,Mavmoney,Desecrated Bindings,12
402,,Mavmoney,Malice Stone Pendant,12
399,,Mavmoney,Gem of Nerubis,12
2818,6/22,Prastinna,Gloves of the Messiah,12
1943,1/26,Shaq,Ternary Mantle,12
1110,,Sxc,Judgement Legplates,12
2367,4/12,Prastinna,Wand of the Whispering Dead,11
1584,12/21,Yumi,Desecrated tunic,11
3177,8/24,kushbomb,Draconic Avenger,11
845,,Yumi,Desecrated Sandles,11
42,,Urijahg,Angelista's Grasp,11
2688,6/1,Valerick,Judgement Gauntlets,11
1018,,Hamtasro,Formula: Enchant Claok - Dodge,11
263,,Isoncooldown,Triad Girdle,11
200,,Sardinas,Gluth's Missing Collar,11
3041,8/2,Begs,Desecrated Legguates,11
1213,,Haka,Ring of the Dreadnought,11
247,,Isoncooldown,Vambraces of Prophecy,11
3239,8/31,Arathmis,Libram of Grace,11
1114,,Llef,Flamewalker Legplates,11
2409,4/19,Blackstabath,Maexxna's Fang,11
2410,4/19,Blackstabath,Polar Shoulder Pads,11
3170,8/23,Jyro,Desecrated Breastplate,11
1630,12/28,Valerick,Desecrated Pauldrons,11
1781,1/11,Flo,Fortitude of the Scourge,11
3086,8/10,Yumi,Choker of Enlightenment,11
3211,8/30,Yumi,Desecrated Bindings,11
2558,5/17,Valerick,Ring of the Dreadnaught,11
690,,Yumi,Qiraji Bindings of Dominance,11
3159,8/23,Plated,Gluth's Missing Collar,11
1745,1/5,Valerick,Waistband of Wrath,11
3247,8/31,Arathmis,Carapace of the Old God,11
196,,Sardinas,Severance,11
3257,,Ismago,Fortitude of the Scourge,11
2940,7/13,Kushbomb,Blastershot,11
3132,8/17,Sephirath,Shadow power enchant,11
2964,7/19,19,Fortitude of the Scourge,11
2769,6/15,Valerick,The Untamed Blade,11
3122,8/17,Ismagu,Royal Qiraji Belt,11
3210,8/30,Dwarflord,Desecrated Pauldrons,11
1926,1/25,Remembrancer,Desecrated Spaulders,11
64,,Lerok,Triad Girdle,11
1330,,Sardinas,Ring of Swarming Thought,11
3151,8/23,Tuko,Fortitude of the Scourge,11
3246,8/31,Arathmis,Skin of the Great Sandworm,11
1111,,Sxc,Band of Sulfuras,11
2952,7/19,Mallanim ,Desecrated Legplates,11
3111,8/16,Nightsurviv,Sapphiron's Left Eye,11
2358,4/6,chihua,robe of transcendence,11
1107,,Valerick,Core Hound Tool,11
2351,4/6,sohtank,claw of chromaggus,11
1581,12/21,Haka,Icebane Helmet,11
3196,8/30,Haka,Cryptfiend Silk Cloak,11
3000,7/27,Tuko,Bloodfang BOots,11
3150,8/23,Tuko,Resilience of the Scourge,11
729,,Dane,Perdition's Blade,11
134,,Paddington,Choker of Enlightenment,11
1611,12/22,Night,Vek'nilash's Circlet,11
1686,12/29,Silly,Flamewalker Legplates,11
1379,,Valerick,Icebane Helmet,11
3139,8/17,Tuko,Qiraji Bindings of Command,11
1746,1/5,Throndil,Red Dragonscale Protector,11
2038,2/9,Hamtaro,Threat to gloves,11
3129,8/17,Prastinna,Ternary Mantle,11
1919,1/25,Yumi,Desecrated Handguards,11
737,,Mav,Glacial Mantle,11
2311,3/30,Inu,Ternary Mantle,10
699,,Brock,Burrower Bracers,10
1226,,Thiccrae,The Plague Bearer,10
2468,4/27,Respira,Necklace of Purity,10
381,,Keen,Recomposed Boots,10
1980,2/1,Keen,Glacial Mantle,10
710,,Valerick,Salamander Scale Pants,10
1766,1/5,Cateven,Ring of Spell Power,10
2541,5/11,Blt,Robes of the Triumverate,10
1586,12/21,Yumi,Desecrated Spaulders,10
1493,,Inuyasha,Triad Girdle,10
1458,,Nuranfu,The Widow's Embrace,10
1730,1/5,Donlimon,Legplates of Wrath,10
1331,,Yumi,Ternary Mantle,10
3197,8/30,Ismago,Widow's Remorse,10
1573,12/21,Yumi,Death's Bargain,10
667,,Zhenduo,Dsecrated Girdle,10
3006,7/27,Doyness,Drake Talon Cleaver,10
2503,5/4,Chetz,Core Hound Tooth,10
1924,1/25,Morty,Desecrated Legplates,10
60,,Mavmoney,Nemesis Leggings,10
1293,,Sardinas,Veil of Eclipse,10
1275,,Yumi,Netherwind Gloves,10
2574,5/17,Inu,Desecrated Gauntlets,10
2582,5/18,Throndil,Earthshaker,10
2986,7/26,Galavat,Resilience of the Scourge,10
3010,7/27,Doyness,Therazane's Link,10
429,,Sardinas,Stygian Buckler,10
46,,Fatjaws,Boots of the Shadow Flame,10
20,,Haka,Desecrated Waistguard,10
2553,5/11,Shredz,Brutality Blade,10
1610,12/22,Magnolia,Vek'lor's Diadem,10
3212,8/30,Truck,Gluth's Missing Collar,10
48,,Gamuza,Giantstalker's Leggings,10
1858,1/18,Yumi,Desecrated Girdle,10
1329,,Sardinas,Pendant of the Qiraji Guardian,10
249,,Mavmoney,Fire Runed Grimoire,10
1899,1/25,Jack,Ring of the Dreamwalker,10
1554,,Magicmike,Arcanist Helm,10
3209,8/30,Truck,Toxin Injector,10
1395,,Oom,Netherwind Robes,10
3194,8/24,Nemanor,Judgement Legplates,10
1760,1/5,Donm,Heavy Dark Iron Ring,10
1631,12/28,Cascada,Desecrated Shoulderpads,10
3160,8/23,Gaussqt,The End of Dreams,10
1089,,Llef,Heartstriker,10
2702,6/1,Irongnome,Gauntlets of Might,10
2096,2/22,Silly,Cryptfiend Silk CLoak,10
2671,5/31,Medium,Desecrated Sabatons,10
1019,,Lucen,Robes of the Triumverate,10
2615,5/24,Freightdawg,Ring of the Dreadnaught,10
3166,8/23,Mallanim,Desecrated Pauldrons,10
1030,,Night,Qiraji Bindings of Dominance,10
2146,3/2,Ismago,Cthun tank neck,10
2118,2/23,Inu,Waistband of Wrath ,10
2095,2/22,Silly,Spire of Twilight,10
976,,Legits,Blastershot Launcher,10
160,,Sardinas,Libram of Grace,10
159,,Keen,Necklace of Purity,10
183,,Rogueisme,Desecrated Gauntlets,10
2106,2/22,Silly,Desecrated Breastplate,10
131,,Fiight,Therezane's Link,10
949,,Legits,Breastplate of Wrath,10
1137,,Rocksteady ,Sadist's Collar,10
2228,3/16,Ismago,Silithid Carapace Chestplate,10
956,,Legits,Eskhander's Right Claw,10
2269,3/23,Litefoot,Belt of Transcendence,10
2472,4/27,Bltoaster,Bindings of Dominance,10
2200,3/9,Legits,Legguards of the Fallen Crusader,10
1153,,Thiccrae,The Widow's Embrace,10
902,,Wumbo,Icebane Helmet,10
751,,Zhenduo,Desecrated Wristguards,10
2700,6/1,Kushbomb,Gutgore Ripper,10
2317,3/30,Daryass,Carapace of the old god,10
539,,Respira,Sadist's Collar,10
2720,6/7,Shredz,Icy Scale Coif,10
2721,6/7,Aetherium,Cryptfiend Silk Cloak,10
2727,6/8,wumbo,bracer of might,10
2787,6/15,Kushbomb,Arcanist Mantle,10
2788,6/15,Kushbomb,Arcanist Gloves,10
2789,6/15,Kushbomb,Staff of Dominance,10
2667,5/31,Medium,Polar Shoulder Pads,10
2637,5/25,Kushbomb,Robes of the Triumverate,10
190,,Xorkal,Stygian Buckler,10
474,,Manowar,Salamander Scale Pants,10
2625,5/24,Throndil,Glacial Mantle,10
1239,,Lucen,Desecrated Gloves,10
2326,4/5,Kibbles,Resilience of the Scourge,10
3200,8/30,Hona,DesecrateD gloves,10
3051,8/3,Light,Scaled Sand Reaver Leggings,10
2388,4/13,Respira,Qiraji Bindings of Dominance,10
2690,6/1,Silly,Handguards of Trancencendec,10
563,,Respira,Desecrated Legguards,10
2942,7/13,Chetz,Right Claw,10
2166,3/2,morty,brut bladew,10
2669,5/31,Medium,Desecrated Helmet,10
2958,7/19,Amelina,Ring of Redemption,10
3098,8/10,Gauss,Gauntlets of Wrath,10
1999,2/2,Holyskank,Choker of Enlightenment,10
2418,4/20,Ccheettzz,Breastplate of Might,10
2039,2/9,Yumi,Dodge to cloak,9
1565,12/21,Nightsummon,Plagueheart Ring,9
3123,8/17,Prastinna,Belt of the Fallen Emperor,9
1430,,Tofra,Head of Nef,9
1176,,Hamtaro,amulet of the foul warding,9
2807,6/21,Spooge,Resilience of the Scourge,9
558,,Wumbo,Desecrated Girdle,9
63,,Zacharillo,Ooze-Ridden Gauntlets,9
2171,3/8,Spooge,Plagueheart Ring,9
3136,8/17,Prastinna,Skin of the,9
862,,Sardinas,Ooze ridden gauntlets,9
3260,,Tuko,Gluth's Missing Collar,9
1442,,Blackhanded,Desecrated Sabatons,9
2003,2/2,Ismago,Breastplate of Might,9
3128,8/17,Prastinna,Creeping Vine Helm,9
1273,,Yumi,Head of Nef,9
2845,6/28,Nightsurvive,Wand of Fates,9
1504,,Silly,Veil of Eclipse,9
945,,Tofra,Stormrage Pauldrons,8
1235,,Tunasubgg,Desecrated Pauldrons,8
1051,,Tofra,Desecrated Boots,8
2099,2/22,Spoge,Glacial Headdress,8
358,,Urijah,Belt of Might,8
1079,,Nightsummon,Desecrated Sandals,8
2239,3/16,Raphael,Bracers of Wraith,8
149,,Fiight,Wristguards of True Flight,8
495,,Hamtaro,Necklace of Purity,8
1052,,Nightsumon,Desecrated Circlet,8
2510,5/10,Yumi,Loatheb Reflection,8
2234,3/16,Tuna,Husk of the Old God,8
2493,5/3,Tuna,Cloak of the Scourge,8
2345,4/6,Litefoot,legging of transcendence,8
757,,Nieth,Desecrated Handguards,8
547,,Rella,Desecrated Pauldrons,8
561,,Brockstar,Ring of Spiritual Fervor,8
3143,8/17,Rageous,Something,8
1812,1/12,Cascada,Cape of the Trinity,8
2033,2/9,Yumi,Gauntlets of the Righteous Champion,8
1241,,Tunasubgg,Desecrated Bracers ,8
2642,5/25,Ismagu,Imperial Qiraji Armaments,8
3117,8/16,Ismago,Hatchet of Sundered Bone,8
1560,12/21,Jimbo,Desecrated Sandals,8
257,,Fatjaws,Blastershot Launcher,8
371,,Sardinas,Plans: Persuader,8
2847,6/28,Jimbo,Spire of Twilight,8
2598,5/18,Respira,Minazuki,8
472,,Oom,Talisman of Ephemeral Power,8
3269,,Ismago,Desecrated Legplates,8
220,,Mavmoney,Evony Flame Gloves,8
1852,1/18,Jimbo,Glacial Mantle,8
3163,8/23,Tuko,Desecrated Handguards,8
892,,Nightsummon,Desecrasted Shoulderpads,8
2158,3/2,Ahi,Amulet of Foul Warding,7
2631,5/25,Valerik,Wormscale Blocker,7
340,,Toframadur,Stormrage Chestguard,7
2034,2/9,Yumi,Triad Girdle,7
2944,7/13,Ahimelech,Heavy Dark Iron Ring,7
335,,Zekrov,Herald of Woe,7
1579,12/21,Biggerbill,Polar Shoulder Pads,7
1866,1/19,Jack,Cloak of the Brood Lord,7
1264,,Wumbologi,Band of Sulfuras,7
1947,1/26,Brockstar,Gloves of the Messiah,7
2640,5/25,Fatjaws,Cloak of Untold Secrets,7
3078,8/9,Nuranfu,Icebane Helmet,7
3039,8/2,Begs,Desecrated Tunic,7
2091,2/22,Nightsurviv,Wand of the Whispering Dead,7
49,,Tof,Arcanist Leggings,7
2010,2/8,Ahi,Resilience of the Scourge,7
3099,8/10,Lightborn,Styleen's Impeding Scarab,7
2905,7/12,Valerick,Fortitude of the Scourge,7
3076,8/9,Jimbo,Maul of the Redeemed Crusader,7
1996,2/2,Ahi,Waistband of Wrath ,7
3034,8/2,Jimbo,Brimstone Staff,7
2912,7/12,Lightbournne,Noth's Frigid Heart,7
3089,8/10,Mallanim,Shadowstrike,7
3091,8/10,Kornek,Essence of The Pure,7
274,,Jimbomane,Gloves of the Messiah,7
1917,1/25,Brock,Glacial Mantle,7
2219,3/15,Hamtaro,Idol of Longevity,7
3012,7/27,Begs,Flameguard Gauntlets,7
224,,Hadria,Pauldrons of Transcendence,7
1997,2/2,Ahi,Gauntlets of Wrath,7
2212,3/15,Throndil,Maul of the Redeemed Crusader,7
2785,6/15,spooqe,Gloves of Prophecy,7
2153,3/2,Ahi,Huhu's Stinger,7
252,,Ahimelech,Cenarion Gloves,7
3270,,Ismago,Desecrated Helmet,7
246,,Yuimikee,Lawbringer Helm,7
68,,Plated,Pauldrons of the Unrelenting,7
2061,2/15,Ismagu,Maexnna's Fang,7
3114,8/16,Ahimelech,Signet of the Fallen Defender,7
353,,Kulmirik,Aged Core Leather Gloves,7
3271,,Tuko,Desecrated Headpiece,7
2156,3/2,Tukobonk,Robes of the Battleguard,7
1895,1/19,Ahimelech,Sabatons of Might,7
2951,7/19,Begs,Icebane Helmet,7
75,,Zacharillo,Belt of the Fallen Emperor,7
1342,,Ahimelech,Vek'nilash's Circlet,7
3158,8/23,Galavant,Severence,7
3058,8/3,Tuko,Vek'lor's Diadem,7
1080,,Brock,Glacial Headdress,7
661,,Plated,Desecrated SPaulders,7
250,,Isoncooldown,Arcanist Belt,7
2545,5/11,Nightsurviv,Formula: Enchant Gloves - Superior Agility,7
2935,7/13,Ahimelech,Stormrage Bracers,7
680,,Plated,Breastplate of Annihilation,7
2892,7/6,19,Triad Girdle,7
2761,6/14,Plated,Cloak of the Scourge,7
181,,Plated,Malice Stone Pendant,7
3134,8/17,Chromebaby,Husk of the Old God,7
1154,,Yumi,Maexxna's Fang,7
2353,4/6,mallanim,bloodfang gloves,7
3121,8/17,Ahimelech,Burrower Bracers,7
2861,6/29,Valerick,Wristguards of True Flight,7
907,,Nightsummon,Desecrated Gloves,7
2860,6/29,Kibbles,Staff of Dominance,7
841,,Tofra,Desecrated Gloves,7
2276,3/23,Mallanim,Bundle,7
1162,,Oom,Desecrated Headpiece,7
1998,2/2,Ahi,Head of Nef,7
1888,1/19,Ahimelech,Pauldrons of Might,7
2338,4/6,Litefoot,Gloves of Prophecy,7
1842,1/18,Ahimelech,Sapphiron's Left Eye,7
2837,6/28,Jimbo,The Widow's Embrace,7
2834,6/28,Mallanim,Desecrated Bracers,7
1880,1/19,Ahimelech,Sabatrons of Wrath,7
428,,Hamtaro,Malice Stone Pendant,7
2890,7/6,19,Gauntlets of Steadfast Determination,7
2292,3/29,Silly,Maexxna's Fang,7
2910,7/12,Ahimelech,Wand of Fates,7
1890,1/19,Ahimelech,Gauntlets of Might,7
943,,Wumbo,Drake Talon Cleaver,6
2685,6/1,Valerick,Judgement Bindingsa,6
1402,,Fatjaws,Malfurion's Blessed Bulwark,6
2701,6/1,Ashula,Arcanist Mantle,6
3038,8/2,lightbourne,cum,6
40,,Mavmoney,Nemesis Spaulders,6
1837,1/18,Valerick,Signet of the Fallen Defender,6
1738,1/5,Manowar,Lifegiving Gem,6
2604,5/24,Spooge,Gem of Nerubis,6
570,,Plated,Desecrated Handguards,6
1989,2/2,Throndil,Scrolls of Blinding Light,6
1121,,Llef,Flaemguard Guantlets,6
868,,Fatjaws,gloves the hidden temple,6
2083,2/22,Nightsurviv,Ring of Faith,6
618,,Blackstabath,Earthshaker,6
2530,5/10,Nightsurviv,Desecrated Circlet,6
679,,Hamtaro,Pendant of the Qiraji Guardian,6
1951,1/26,Throndil,Qiraji Bindings of Dominance,6
918,,Hamtaro,Ring of the Dreamwalker,6
2300,3/29,Tofra,Desecrated Belt,6
3263,,Ismago,Maexnna's Fang,6
1490,,Varros,Ritssyn's Ring of Chaos,6
1574,12/21,Fatjaws,Toxin Injector,6
670,,Wumbo,Desecrated Legplates,6
3243,8/31,Arathmis,Boots of the Redeemed Prophecy,6
1134,,Tunasubgg,Desecrated Sabatons,6
3256,,Silly,Resilience of the Scourge,6
1993,2/2,Dane,Draconic Avenger,6
34,,Mavmoney,Nemesis Gloves,6
2979,7/20,Kushbomb,Brutality Blade,6
2693,6/1,Irongnome,Flamewalker Legplates,6
2489,5/3,Manowar,The Castigator,6
3049,8/3,Shredz,Ternary Mantle,6
2703,6/1,Doyness,Magma Tempered Boots,6
489,,Varros,Essence of the Pure Flame,6
1204,,Blackstabath,Desecrated Sabatons,6
1704,1/4,Kibbles,Wand of the Whispering Dead,6
497,,Varros,Pauldrons of the Unrelenting,6
931,,Mav,Nemesis Bindings,6
227,,Gamuza,Dragonstalker's Breastplate,6
719,,Fatjaws,Nightslayer Boots,6
1681,12/29,Oom,Netherwind Pants,6
2613,5/24,Medium,Desecrated Legplates,6
2764,6/14,Plated,Veil of Eclipse,6
31,,Mavmoney,Nemesis Belt,6
2878,7/5,Haka,Widow's Remorse,6
2270,3/23,Silly,Crown of Destruction,6
2271,3/23,Vav,Blastershot Launcher,6
946,,Sxc,Judgement Spaulders,6
1800,1/11,Valerick,Desecrated Legplates,6
487,,Varros,fireproof cloak,6
2616,5/24,Ismago,Ring of the Dreadnaught,6
898,,Nightsummon,Desecrated Belt,6
3217,8/30,Sky,Veil of Eclipse,6
2758,6/14,Rowaine,Death's Bargain,6
2256,3/22,Nezlol,Desecrated Circlet,6
2620,5/24,Nineteen,Claw of the Frost Worm,6
1580,12/21,Yumi,Stygian Buckler,6
2254,3/22,Nezlol,Wand of Fates,6
32,,Mavmoney,Nemesis Boots,6
1692,12/29,Valerick,Sabatons of Might,6
3017,7/27,Prast,Malistar's Defender,6
2251,3/22,Nezlol,Frostfire Ring,6
2138,3/1,Haka,Hailstone Band,6
2873,7/5,Tofra,Wand of Fateds,6
1650,12/28,Blackhanded,Eye of Nerub,6
3053,8/3,Chihua,Ooze-ridden Gauntlets,6
2923,7/13,Valerick,Judgment Spaulders,6
755,,Plated,Pendant of Forgotten Names,6
2938,7/13,Valerik,Spinal Reaper,6
2783,6/15,Prastinna,OEB,6
733,,Plated,Leggings of the Grand Crusader,6
903,,Rowaine,Stygian Buckler,6
3184,8/24,Bombkush,Head of Nefarian,6
1234,,Blackhanded,Desecrated Helmet,6
2858,6/29,Prastinna,Judgement Belt,6
1168,,Tofra,Desecrated Sandals,6
1279,,Rowaine,Herald of Woe,6
1619,12/28,Valerick,Desecrated Sabatons,6
1659,12/29,Hamtaro,Bloodfang Chestpiece,6
2941,7/13,Bombkush,CHT,6
3168,8/23,Iggy,Desecrated Helmet,6
3124,8/17,Prastinna,Gloves of the Messiah,6
2004,2/2,Dane,Staff of Dominance,6
1861,1/18,Throndil,Desecrated Wristguards,6
1245,,Nightsummon,Nemesis Robes,6
1254,,Magicmike,Arcanist Gloves,6
121,,Yumiki,Essence Gatherer,6
1617,12/22,Wumbo,Belt of Might,6
2296,3/29,Nightsurviv,Desecrated Leggings,6
1143,,Rowaine,Ring of Redemption,6
1169,,Oom,Desecrated Wristguards,6
906,,Plated,Desecrated Wristguards,6
932,,Tofra,Stormage Belt,6
1229,,Wumbo,Icebane Pauldrons,6
1850,1/18,Yumi,Severence,6
2803,6/21,Clonkx,Maul of the Redeemed Crusader,6
1034,,Rowaiine,Gloves of the Redeemed Prophecy,6
2784,6/15,Valerick,Robe of Volatile Power,6
2947,7/13,Spooge,Shadowstrike,6
2526,5/10,Haka,Gluth's Missing Collar,6
796,,Wumbo,Cloak of the Brood Lord,6
3014,7/27,Rowaine,Hyperthermically Insulated Lava Dredger,6
3140,8/17,Dwarflord,Qiraji Bindings of Command,6
2670,5/31,Holyskank,Desecrated Shoulderpads,6
2370,4/12,Prastinna,Eye of Nerub,6
2706,6/1,Doyness,Lawbringer Spauldersa,6
2181,3/8,Haka,GST,6
3130,8/17,Bombkush,Angelista's Charm,6
1248,,Wumbologi,Arcanist Boots,6
2432,4/20,Respira,Shimmering Geta,6
128,,Xorkal,Elementium Threaded Cloak,6
2436,4/20,Rowaine,Robe of Volatile Power,6
2428,4/20,Manowar,Helm of Endless Rage,6
3268,,Ismago,Desecrated Pauldrons,6
2299,3/29,Nightsurviv,Desecrated Sandals,6
781,,"Oom,",Netherwind Boots,6
833,,Tofra,Desecrated Leggings,6
2931,7/13,Aetherium,Sabatons of Wrath,6
1628,12/28,Blackhanded,Band of Reanimation,6
2852,6/29,valerick,Drake Talon Pauldrons,6
3191,8/24,Valerick,Azuresong Mageblade,6
2201,3/15,Rocksteady,Bonescylthe,6
1662,12/29,Oom,Angelista's Grasp,6
2668,5/31,Holyskank,Desecrated Bindings,6
2643,5/25,Nightsurviv,Qiraji Bindings of Command,6
1864,1/19,Legits,Shadowstrike,6
1464,,Dane,Hailstone Badnd,6
2548,5/11,Shredz,Qiraji Bindings of Command,5
2542,5/11,Respira,Recomposed Boots,5
2550,5/11,Shredz,Ouro's Intact Hide,5
671,,Manowar,Desecrated Legplates,5
2544,5/11,Shredz,Imperial Qiraji Regalia,5
1091,,Sxc,Judgment Gauntlets,5
2546,5/11,Blt,Qiraji Bindings of Dominance,5
1092,,Respira,Claw of the Black Drake,5
1095,,Respira,Bloodfang Gloves,5
1096,,Sxc,Herald of Woe,5
2549,5/11,Shredz,Carapace of the Old God,5
1414,,Hamtaro,Bloodfang Pants,5
2508,5/4,Yumi,t2 wrist,5
1078,,Biggerbill,Desecrated Sabatons,5
869,,Hunten,veklors gloves of devastation,5
2131,3/1,Inu,Desecrated Bracers,5
1057,,Biggerbill,Desecrated Waistguards,5
735,,Xorkal,The Plague Bearer,5
1041,,Nightsummon,Husk of the Old God,5
2455,4/26,Holyskank,Desecrated Leggings,5
2456,4/26,Yumi,Desecrated Boots,5
677,,Gamuza,Ring of the Cryptstalker,5
1044,,Nightsummon,skin of the great sandworm,5
731,,Yumi,Judgement Legplates,5
2540,5/11,Shredz,Huhuran's Stinger,5
743,,Thunderhamer,Desecrated Waistguard,5
681,,Mav,Formula: Enchant Gloces: Healing,5
752,,Wumbo,Stygian Buckler,5
954,,Inuyasha,Gauntlets of Might,5
2143,3/1,Tofra,Descrated Shoulderpads,5
2341,4/6,silly,mana igniting cord,5
958,,Oom,Arcanist Leggings,5
2506,5/4,Yumi,Belt of Transcendence,5
2343,4/6,Cubster,sorcerous dagger,5
2344,4/6,Gamuza,core hound tooth,5
2217,3/15,Prastinna,Loatheb Reflection,5
2346,4/6,Cubster,fire run grimoire,5
2082,2/22,Eedz,Ring of the Cryptstalker,5
